this is log msg 0 Fri Nov  9 13:26:11 2018 
this is log msg 180 Fri Nov  9 13:26:30 2018 
this is log msg 181 Fri Nov  9 13:26:30 2018 
this is log msg 182 Fri Nov  9 13:26:30 2018 
this is log msg 183 Fri Nov  9 13:26:30 2018 
this is log msg 184 Fri Nov  9 13:26:30 2018 
this is log msg 185 Fri Nov  9 13:26:31 2018 
this is log msg 186 Fri Nov  9 13:26:31 2018 
this is log msg 187 Fri Nov  9 13:26:31 2018 
this is log msg 188 Fri Nov  9 13:26:31 2018 
this is log msg 189 Fri Nov  9 13:26:31 2018 
this is log msg 190 Fri Nov  9 13:26:31 2018 
this is log msg 191 Fri Nov  9 13:26:31 2018 
this is log msg 192 Fri Nov  9 13:26:31 2018 
this is log msg 193 Fri Nov  9 13:26:31 2018 
this is log msg 194 Fri Nov  9 13:26:31 2018 
this is log msg 195 Fri Nov  9 13:26:32 2018 
this is log msg 196 Fri Nov  9 13:26:32 2018 
this is log msg 197 Fri Nov  9 13:26:32 2018 
this is log msg 198 Fri Nov  9 13:26:32 2018 
this is log msg 199 Fri Nov  9 13:26:32 2018 
this is log msg 200 Fri Nov  9 13:26:32 2018 
this is log msg 201 Fri Nov  9 13:26:32 2018 
this is log msg 202 Fri Nov  9 13:26:32 2018 
this is log msg 203 Fri Nov  9 13:26:32 2018 
this is log msg 204 Fri Nov  9 13:26:32 2018 
this is log msg 205 Fri Nov  9 13:26:33 2018 
this is log msg 206 Fri Nov  9 13:26:33 2018 
this is log msg 207 Fri Nov  9 13:26:33 2018 
this is log msg 208 Fri Nov  9 13:26:33 2018 
this is log msg 209 Fri Nov  9 13:26:33 2018 
this is log msg 210 Fri Nov  9 13:26:33 2018 
this is log msg 211 Fri Nov  9 13:26:33 2018 
this is log msg 212 Fri Nov  9 13:26:33 2018 
this is log msg 213 Fri Nov  9 13:26:33 2018 
this is log msg 214 Fri Nov  9 13:26:33 2018 
this is log msg 215 Fri Nov  9 13:26:34 2018 
this is log msg 216 Fri Nov  9 13:26:34 2018 
this is log msg 217 Fri Nov  9 13:26:34 2018 
this is log msg 218 Fri Nov  9 13:26:34 2018 
this is log msg 219 Fri Nov  9 13:26:34 2018 
this is log msg 220 Fri Nov  9 13:26:34 2018 
this is log msg 221 Fri Nov  9 13:26:34 2018 
this is log msg 222 Fri Nov  9 13:26:34 2018 
this is log msg 223 Fri Nov  9 13:26:34 2018 
this is log msg 224 Fri Nov  9 13:26:35 2018 
this is log msg 225 Fri Nov  9 13:26:35 2018 
this is log msg 226 Fri Nov  9 13:26:35 2018 
this is log msg 227 Fri Nov  9 13:26:35 2018 
this is log msg 228 Fri Nov  9 13:26:35 2018 
this is log msg 229 Fri Nov  9 13:26:35 2018 
this is log msg 230 Fri Nov  9 13:26:35 2018 
this is log msg 231 Fri Nov  9 13:26:35 2018 
this is log msg 232 Fri Nov  9 13:26:35 2018 
this is log msg 233 Fri Nov  9 13:26:35 2018 
this is log msg 234 Fri Nov  9 13:26:36 2018 
this is log msg 235 Fri Nov  9 13:26:36 2018 
this is log msg 236 Fri Nov  9 13:26:36 2018 
this is log msg 237 Fri Nov  9 13:26:36 2018 
this is log msg 238 Fri Nov  9 13:26:36 2018 
this is log msg 239 Fri Nov  9 13:26:36 2018 
this is log msg 240 Fri Nov  9 13:26:36 2018 
this is log msg 241 Fri Nov  9 13:26:36 2018 
this is log msg 242 Fri Nov  9 13:26:36 2018 
this is log msg 243 Fri Nov  9 13:26:36 2018 
this is log msg 244 Fri Nov  9 13:26:37 2018 
this is log msg 245 Fri Nov  9 13:26:37 2018 
this is log msg 246 Fri Nov  9 13:26:37 2018 
this is log msg 247 Fri Nov  9 13:26:37 2018 
this is log msg 248 Fri Nov  9 13:26:37 2018 
this is log msg 249 Fri Nov  9 13:26:37 2018 
this is log msg 250 Fri Nov  9 13:26:37 2018 
this is log msg 251 Fri Nov  9 13:26:37 2018 
this is log msg 252 Fri Nov  9 13:26:37 2018 
this is log msg 253 Fri Nov  9 13:26:37 2018 
this is log msg 254 Fri Nov  9 13:26:38 2018 
this is log msg 255 Fri Nov  9 13:26:38 2018 
this is log msg 256 Fri Nov  9 13:26:38 2018 
this is log msg 257 Fri Nov  9 13:26:38 2018 
this is log msg 258 Fri Nov  9 13:26:38 2018 
this is log msg 259 Fri Nov  9 13:26:38 2018 
this is log msg 260 Fri Nov  9 13:26:38 2018 
this is log msg 261 Fri Nov  9 13:26:38 2018 
this is log msg 262 Fri Nov  9 13:26:38 2018 
this is log msg 263 Fri Nov  9 13:26:39 2018 
this is log msg 264 Fri Nov  9 13:26:39 2018 
this is log msg 265 Fri Nov  9 13:26:39 2018 
this is log msg 266 Fri Nov  9 13:26:39 2018 
this is log msg 267 Fri Nov  9 13:26:39 2018 
this is log msg 268 Fri Nov  9 13:26:39 2018 
this is log msg 269 Fri Nov  9 13:26:39 2018 
this is log msg 270 Fri Nov  9 13:26:39 2018 
this is log msg 271 Fri Nov  9 13:26:39 2018 
this is log msg 272 Fri Nov  9 13:26:39 2018 
this is log msg 273 Fri Nov  9 13:26:40 2018 
this is log msg 274 Fri Nov  9 13:26:40 2018 
this is log msg 275 Fri Nov  9 13:26:40 2018 
this is log msg 276 Fri Nov  9 13:26:40 2018 
this is log msg 277 Fri Nov  9 13:26:40 2018 
this is log msg 278 Fri Nov  9 13:26:40 2018 
this is log msg 279 Fri Nov  9 13:26:40 2018 
this is log msg 280 Fri Nov  9 13:26:40 2018 
this is log msg 281 Fri Nov  9 13:26:40 2018 
this is log msg 282 Fri Nov  9 13:26:40 2018 
this is log msg 283 Fri Nov  9 13:26:41 2018 
this is log msg 284 Fri Nov  9 13:26:41 2018 
this is log msg 285 Fri Nov  9 13:26:41 2018 
this is log msg 286 Fri Nov  9 13:26:41 2018 
this is log msg 287 Fri Nov  9 13:26:41 2018 
this is log msg 288 Fri Nov  9 13:26:41 2018 
this is log msg 289 Fri Nov  9 13:26:41 2018 
this is log msg 290 Fri Nov  9 13:26:41 2018 
this is log msg 291 Fri Nov  9 13:26:41 2018 
this is log msg 292 Fri Nov  9 13:26:42 2018 
this is log msg 293 Fri Nov  9 13:26:42 2018 
this is log msg 294 Fri Nov  9 13:26:42 2018 
this is log msg 295 Fri Nov  9 13:26:42 2018 
this is log msg 296 Fri Nov  9 13:26:42 2018 
this is log msg 297 Fri Nov  9 13:26:42 2018 
this is log msg 298 Fri Nov  9 13:26:42 2018 
this is log msg 299 Fri Nov  9 13:26:42 2018 
this is log msg 300 Fri Nov  9 13:26:42 2018 
this is log msg 301 Fri Nov  9 13:26:42 2018 
this is log msg 302 Fri Nov  9 13:26:43 2018 
this is log msg 303 Fri Nov  9 13:26:43 2018 
this is log msg 304 Fri Nov  9 13:26:43 2018 
this is log msg 305 Fri Nov  9 13:26:43 2018 
this is log msg 306 Fri Nov  9 13:26:43 2018 
this is log msg 307 Fri Nov  9 13:26:43 2018 
this is log msg 308 Fri Nov  9 13:26:43 2018 
this is log msg 309 Fri Nov  9 13:26:43 2018 
this is log msg 310 Fri Nov  9 13:26:43 2018 
this is log msg 311 Fri Nov  9 13:26:43 2018 
this is log msg 312 Fri Nov  9 13:26:44 2018 
this is log msg 313 Fri Nov  9 13:26:44 2018 
this is log msg 314 Fri Nov  9 13:26:44 2018 
this is log msg 315 Fri Nov  9 13:26:44 2018 
this is log msg 316 Fri Nov  9 13:26:44 2018 
this is log msg 317 Fri Nov  9 13:26:44 2018 
this is log msg 318 Fri Nov  9 13:26:44 2018 
this is log msg 319 Fri Nov  9 13:26:44 2018 
this is log msg 320 Fri Nov  9 13:26:44 2018 
this is log msg 321 Fri Nov  9 13:26:45 2018 
this is log msg 322 Fri Nov  9 13:26:45 2018 
this is log msg 323 Fri Nov  9 13:26:45 2018 
this is log msg 324 Fri Nov  9 13:26:45 2018 
this is log msg 325 Fri Nov  9 13:26:45 2018 
this is log msg 326 Fri Nov  9 13:26:45 2018 
this is log msg 327 Fri Nov  9 13:26:45 2018 
this is log msg 328 Fri Nov  9 13:26:45 2018 
this is log msg 329 Fri Nov  9 13:26:45 2018 
this is log msg 330 Fri Nov  9 13:26:45 2018 
this is log msg 331 Fri Nov  9 13:26:46 2018 
this is log msg 332 Fri Nov  9 13:26:46 2018 
this is log msg 333 Fri Nov  9 13:26:46 2018 
this is log msg 334 Fri Nov  9 13:26:46 2018 
this is log msg 335 Fri Nov  9 13:26:46 2018 
this is log msg 336 Fri Nov  9 13:26:46 2018 
this is log msg 337 Fri Nov  9 13:26:46 2018 
this is log msg 338 Fri Nov  9 13:26:46 2018 
this is log msg 339 Fri Nov  9 13:26:46 2018 
this is log msg 340 Fri Nov  9 13:26:46 2018 
this is log msg 341 Fri Nov  9 13:26:47 2018 
this is log msg 342 Fri Nov  9 13:26:47 2018 
this is log msg 343 Fri Nov  9 13:26:47 2018 
this is log msg 344 Fri Nov  9 13:26:47 2018 
this is log msg 345 Fri Nov  9 13:26:47 2018 
this is log msg 346 Fri Nov  9 13:26:47 2018 
this is log msg 347 Fri Nov  9 13:26:47 2018 
this is log msg 348 Fri Nov  9 13:26:47 2018 
this is log msg 349 Fri Nov  9 13:26:47 2018 
this is log msg 350 Fri Nov  9 13:26:47 2018 
this is log msg 351 Fri Nov  9 13:26:48 2018 
this is log msg 352 Fri Nov  9 13:26:48 2018 
this is log msg 353 Fri Nov  9 13:26:48 2018 
this is log msg 354 Fri Nov  9 13:26:48 2018 
this is log msg 355 Fri Nov  9 13:26:48 2018 
this is log msg 356 Fri Nov  9 13:26:48 2018 
this is log msg 357 Fri Nov  9 13:26:48 2018 
this is log msg 358 Fri Nov  9 13:26:48 2018 
this is log msg 359 Fri Nov  9 13:26:48 2018 
this is log msg 360 Fri Nov  9 13:26:49 2018 
this is log msg 361 Fri Nov  9 13:26:49 2018 
this is log msg 362 Fri Nov  9 13:26:49 2018 
this is log msg 363 Fri Nov  9 13:26:49 2018 
this is log msg 364 Fri Nov  9 13:26:49 2018 
this is log msg 365 Fri Nov  9 13:26:49 2018 
this is log msg 366 Fri Nov  9 13:26:49 2018 
this is log msg 367 Fri Nov  9 13:26:49 2018 
this is log msg 368 Fri Nov  9 13:26:49 2018 
this is log msg 369 Fri Nov  9 13:26:49 2018 
this is log msg 370 Fri Nov  9 13:26:50 2018 
this is log msg 371 Fri Nov  9 13:26:50 2018 
this is log msg 372 Fri Nov  9 13:26:50 2018 
this is log msg 373 Fri Nov  9 13:26:50 2018 
this is log msg 374 Fri Nov  9 13:26:50 2018 
this is log msg 375 Fri Nov  9 13:26:50 2018 
this is log msg 376 Fri Nov  9 13:26:50 2018 
this is log msg 377 Fri Nov  9 13:26:50 2018 
this is log msg 378 Fri Nov  9 13:26:50 2018 
this is log msg 379 Fri Nov  9 13:26:50 2018 
this is log msg 380 Fri Nov  9 13:26:51 2018 
this is log msg 381 Fri Nov  9 13:26:51 2018 
this is log msg 382 Fri Nov  9 13:26:51 2018 
this is log msg 383 Fri Nov  9 13:26:51 2018 
this is log msg 384 Fri Nov  9 13:26:51 2018 
this is log msg 385 Fri Nov  9 13:26:51 2018 
this is log msg 386 Fri Nov  9 13:26:51 2018 
this is log msg 387 Fri Nov  9 13:26:51 2018 
this is log msg 388 Fri Nov  9 13:26:51 2018 
this is log msg 389 Fri Nov  9 13:26:52 2018 
this is log msg 390 Fri Nov  9 13:26:52 2018 
this is log msg 391 Fri Nov  9 13:26:52 2018 
this is log msg 392 Fri Nov  9 13:26:52 2018 
this is log msg 393 Fri Nov  9 13:26:52 2018 
this is log msg 394 Fri Nov  9 13:26:52 2018 
this is log msg 395 Fri Nov  9 13:26:52 2018 
this is log msg 396 Fri Nov  9 13:26:52 2018 
this is log msg 397 Fri Nov  9 13:26:52 2018 
this is log msg 398 Fri Nov  9 13:26:52 2018 
this is log msg 399 Fri Nov  9 13:26:53 2018 
this is log msg 400 Fri Nov  9 13:26:53 2018 
this is log msg 401 Fri Nov  9 13:26:53 2018 
this is log msg 402 Fri Nov  9 13:26:53 2018 
this is log msg 403 Fri Nov  9 13:26:53 2018 
this is log msg 404 Fri Nov  9 13:26:53 2018 
this is log msg 405 Fri Nov  9 13:26:53 2018 
this is log msg 406 Fri Nov  9 13:26:53 2018 
this is log msg 407 Fri Nov  9 13:26:53 2018 
this is log msg 408 Fri Nov  9 13:26:53 2018 
this is log msg 409 Fri Nov  9 13:26:54 2018 
this is log msg 410 Fri Nov  9 13:26:54 2018 
this is log msg 411 Fri Nov  9 13:26:54 2018 
this is log msg 412 Fri Nov  9 13:26:54 2018 
this is log msg 413 Fri Nov  9 13:26:54 2018 
this is log msg 414 Fri Nov  9 13:26:54 2018 
this is log msg 415 Fri Nov  9 13:26:54 2018 
this is log msg 416 Fri Nov  9 13:26:54 2018 
this is log msg 417 Fri Nov  9 13:26:54 2018 
this is log msg 418 Fri Nov  9 13:26:54 2018 
this is log msg 419 Fri Nov  9 13:26:55 2018 
this is log msg 420 Fri Nov  9 13:26:55 2018 
this is log msg 421 Fri Nov  9 13:26:55 2018 
this is log msg 422 Fri Nov  9 13:26:55 2018 
this is log msg 423 Fri Nov  9 13:26:55 2018 
this is log msg 424 Fri Nov  9 13:26:55 2018 
this is log msg 425 Fri Nov  9 13:26:55 2018 
this is log msg 426 Fri Nov  9 13:26:55 2018 
this is log msg 427 Fri Nov  9 13:26:55 2018 
this is log msg 428 Fri Nov  9 13:26:56 2018 
this is log msg 429 Fri Nov  9 13:26:56 2018 
this is log msg 430 Fri Nov  9 13:26:56 2018 
this is log msg 431 Fri Nov  9 13:26:56 2018 
this is log msg 432 Fri Nov  9 13:26:56 2018 
this is log msg 433 Fri Nov  9 13:26:56 2018 
this is log msg 434 Fri Nov  9 13:26:56 2018 
this is log msg 435 Fri Nov  9 13:26:56 2018 
this is log msg 436 Fri Nov  9 13:26:56 2018 
this is log msg 437 Fri Nov  9 13:26:56 2018 
this is log msg 438 Fri Nov  9 13:26:57 2018 
this is log msg 439 Fri Nov  9 13:26:57 2018 
this is log msg 440 Fri Nov  9 13:26:57 2018 
this is log msg 441 Fri Nov  9 13:26:57 2018 
this is log msg 442 Fri Nov  9 13:26:57 2018 
this is log msg 443 Fri Nov  9 13:26:57 2018 
this is log msg 444 Fri Nov  9 13:26:57 2018 
this is log msg 445 Fri Nov  9 13:26:57 2018 
this is log msg 446 Fri Nov  9 13:26:57 2018 
this is log msg 447 Fri Nov  9 13:26:57 2018 
this is log msg 448 Fri Nov  9 13:26:58 2018 
this is log msg 449 Fri Nov  9 13:26:58 2018 
this is log msg 450 Fri Nov  9 13:26:58 2018 
this is log msg 451 Fri Nov  9 13:26:58 2018 
this is log msg 452 Fri Nov  9 13:26:58 2018 
this is log msg 453 Fri Nov  9 13:26:58 2018 
this is log msg 454 Fri Nov  9 13:26:58 2018 
this is log msg 455 Fri Nov  9 13:26:58 2018 
this is log msg 456 Fri Nov  9 13:26:58 2018 
this is log msg 457 Fri Nov  9 13:26:58 2018 
this is log msg 458 Fri Nov  9 13:26:59 2018 
this is log msg 459 Fri Nov  9 13:26:59 2018 
this is log msg 460 Fri Nov  9 13:26:59 2018 
this is log msg 461 Fri Nov  9 13:26:59 2018 
this is log msg 462 Fri Nov  9 13:26:59 2018 
this is log msg 463 Fri Nov  9 13:26:59 2018 
this is log msg 464 Fri Nov  9 13:26:59 2018 
this is log msg 465 Fri Nov  9 13:26:59 2018 
this is log msg 466 Fri Nov  9 13:26:59 2018 
this is log msg 467 Fri Nov  9 13:27:00 2018 
this is log msg 468 Fri Nov  9 13:27:00 2018 
this is log msg 469 Fri Nov  9 13:27:00 2018 
this is log msg 470 Fri Nov  9 13:27:00 2018 
this is log msg 471 Fri Nov  9 13:27:00 2018 
this is log msg 472 Fri Nov  9 13:27:00 2018 
this is log msg 473 Fri Nov  9 13:27:00 2018 
this is log msg 474 Fri Nov  9 13:27:00 2018 
this is log msg 475 Fri Nov  9 13:27:00 2018 
this is log msg 476 Fri Nov  9 13:27:00 2018 
this is log msg 477 Fri Nov  9 13:27:01 2018 
this is log msg 478 Fri Nov  9 13:27:01 2018 
this is log msg 479 Fri Nov  9 13:27:01 2018 
this is log msg 480 Fri Nov  9 13:27:01 2018 
this is log msg 481 Fri Nov  9 13:27:01 2018 
this is log msg 482 Fri Nov  9 13:27:01 2018 
this is log msg 483 Fri Nov  9 13:27:01 2018 
this is log msg 484 Fri Nov  9 13:27:01 2018 
this is log msg 485 Fri Nov  9 13:27:01 2018 
this is log msg 486 Fri Nov  9 13:27:01 2018 
this is log msg 487 Fri Nov  9 13:27:02 2018 
this is log msg 488 Fri Nov  9 13:27:02 2018 
this is log msg 489 Fri Nov  9 13:27:02 2018 
this is log msg 490 Fri Nov  9 13:27:02 2018 
this is log msg 491 Fri Nov  9 13:27:02 2018 
this is log msg 492 Fri Nov  9 13:27:02 2018 
this is log msg 493 Fri Nov  9 13:27:02 2018 
this is log msg 494 Fri Nov  9 13:27:02 2018 
this is log msg 495 Fri Nov  9 13:27:02 2018 
this is log msg 496 Fri Nov  9 13:27:02 2018 
this is log msg 497 Fri Nov  9 13:27:03 2018 
this is log msg 498 Fri Nov  9 13:27:03 2018 
this is log msg 499 Fri Nov  9 13:27:03 2018 
this is log msg 500 Fri Nov  9 13:27:03 2018 
this is log msg 501 Fri Nov  9 13:27:03 2018 
this is log msg 502 Fri Nov  9 13:27:03 2018 
this is log msg 503 Fri Nov  9 13:27:03 2018 
this is log msg 504 Fri Nov  9 13:27:03 2018 
this is log msg 505 Fri Nov  9 13:27:03 2018 
this is log msg 506 Fri Nov  9 13:27:04 2018 
this is log msg 507 Fri Nov  9 13:27:04 2018 
this is log msg 508 Fri Nov  9 13:27:04 2018 
this is log msg 509 Fri Nov  9 13:27:04 2018 
this is log msg 510 Fri Nov  9 13:27:04 2018 
this is log msg 511 Fri Nov  9 13:27:04 2018 
this is log msg 512 Fri Nov  9 13:27:04 2018 
this is log msg 513 Fri Nov  9 13:27:04 2018 
this is log msg 514 Fri Nov  9 13:27:04 2018 
this is log msg 515 Fri Nov  9 13:27:04 2018 
this is log msg 516 Fri Nov  9 13:27:05 2018 
